,_id,Date Time,profile,company,Location,Start Date,Stipend,Duration,Apply by Date,Offer,Skills and Perks
0,5f9fc1e3fb43357b9094a297,2020-11-02 13:52:57,Fashion Design,Enamor,Bangalore,Immediately, 5000 /month,2 Months,11 Nov' 20,Internship,"[""MS-Office"",""Adobe Illustrator"",""CorelDRAW"",""Certificate""]"
1,5f9fc1e4fb43357b9094a298,2020-11-02 13:52:59,Operations,Lakshmi Tools & Components,Hoskote,Immediately, 12000 /month,1 Month,16 Nov' 20,Internship,"[""Chemistry"",""Certificate"","" Letter of recommendation"","" Informal dress code"","" Free snacks & beverages""]"
2,5f9fc1e4fb43357b9094a299,2020-11-02 13:53:00,Photography,Evineon Technologies,Bangalore,Immediately, 10000-12000 /month,3 Months,16 Nov' 20,Internship,"[""Flexible work hours"","" Free snacks & beverages""]"
3,5f9fc1e5fb43357b9094a29a,2020-11-02 13:53:00,Social Media Marketing,VisualNet Private Limited,Bangalore,Immediately, 7000 /month,6 Months,16 Nov' 20,Internship,"[""MS-Office"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Informal dress code"","" 5 days a week"","" Free snacks & beverages""]"
4,5f9fc1e6fb43357b9094a29b,2020-11-02 13:53:01,Business Development (Sales),DM Consulting (India) Private Limited,Bangalore,Immediately, 5000 /month,6 Months,16 Nov' 20,Internship,[]
5,5f9fc1e7fb43357b9094a29c,2020-11-02 13:53:02,Social Media Marketing,"Zyena Technologies SDN, BHD, Malaysia",Coimbatore,Immediately, 5000-10000 /month,3 Months,16 Nov' 20,Internship with job offer,"[""Digital Marketing"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Informal dress code"","" 5 days a week"","" Free snacks & beverages"","" Job offer""]"
6,5f9fc1e8fb43357b9094a29d,2020-11-02 13:53:03,Event Management/Wedding Planning,Visual Reality Events & Production,Bangalore,Immediately, 2000-3000 /month,3 Months,16 Nov' 20,Internship with job offer,"[""MS-PowerPoint"",""English Proficiency (Spoken)"",""English Proficiency (Written)"",""Certificate"","" Letter of recommendation"","" Job offer""]"
7,5f9fc1e9fb43357b9094a29e,2020-11-02 13:53:04,Digital Marketing,Webi7 Digital Media,Bangalore,Immediately, 5000 /month,3 Months,16 Nov' 20,Internship,"[""Digital Marketing"",""Certificate"","" Letter of recommendation"","" Informal dress code"","" Free snacks & beverages""]"
8,5f9fc1eafb43357b9094a29f,2020-11-02 13:53:05,Graphic Design,StoreEDge Solutions Private Limited,Bangalore,Immediately, 4000-7000 /month,6 Months,16 Nov' 20,Internship,"[""Social Media Marketing"",""Adobe Photoshop"",""Video Editing"",""Digital Marketing"",""Video Making"",""Certificate"","" Informal dress code""]"
9,5f9fc1ebfb43357b9094a2a0,2020-11-02 13:53:06,Cyber Security,Resec Systems Private Limited,Chandigarh,Immediately, 8000 /month,6 Months,16 Nov' 20,Internship with job offer,"[""Python"",""Linux"",""Ethical Hacking"",""C Programming"",""Shell Scripting"",""C++ Programming"",""Certificate"","" Letter of recommendation"","" Job offer""]"
10,5f9fc1ebfb43357b9094a2a1,2020-11-02 13:53:07,Business Development (Sales),Transchamp,Bangalore,Immediately, 15000-18000 /month,6 Months,16 Nov' 20,Internship,"[""Salesforce"",""Certificate""]"
11,5f9fc1ecfb43357b9094a2a2,2020-11-02 13:53:07,Business Development (Sales),Gayathri Design Studio,Bangalore,Immediately, 3000 /month,3 Months,16 Nov' 20,Internship,"[""Tally"",""MS-Excel"",""English Proficiency (Spoken)"",""English Proficiency (Written)"",""Hindi Proficiency (Spoken)"",""Kannada Proficiency (Spoken)"",""Certificate"","" Free snacks & beverages""]"
12,5f9fc1edfb43357b9094a2a3,2020-11-02 13:53:08,Java App Development (Spring Boot & Hibernate),TesQuirel Solutions Private Limited,Bangalore,Immediately, 8000 /month,6 Months,16 Nov' 20,Internship,"[""SQL"",""Hibernate (Java)"",""Spring MVC"",""REST API"",""Certificate"","" Letter of recommendation"","" Informal dress code"","" Free snacks & beverages""]"
